keyword,count,avg_finbert,avg_vader
actuarial adjustments,11,0.37857157846362743,0.076
business interruption,315,0.04396700835492016,0.055704761904761896
capital adequacy,131,0.6627588858756847,0.15945801526717557
capital markets,364,0.38664636629507265,0.11226373626373626
carbon emissions,3,0.19357425673418524,0.07466666666666667
carbon footprint,9,0.6475095481008692,0.14066666666666663
catastrophe,7877,0.36926106918674767,0.07798298844737843
claims reserves,20,0.17324472474836125,0.0884
climate adaptation,5,0.009364677262783495,0.11899999999999997
climate change,161,0.1442404177967798,0.077055900621118
climate risk,14,0.0722044302113563,0.06014285714285715
disaster recovery,2,0.00028724012486232693,0.0195
drought,113,0.1609845010647968,0.07116814159292036
earthquake,425,0.1344096382962604,0.05571294117647058
economic losses,10,0.05566350730665871,0.0897
extreme weather,24,0.2011018721285508,0.08008333333333333
financial exposure,14,0.05991881912078549,0.05357142857142857
financial risk,18,0.20642736390369815,0.07083333333333333
flood,541,0.12316544291589324,0.05834195933456561
greenhouse gases,1,0.9336228966712952,0.0
hurricane,1340,0.18040344645636192,0.06458955223880597
insured losses,33,0.20370982560856726,0.03439393939393939
loss ratios,1013,0.44349579522793087,0.08699605133267521
market exposure,14,0.1897400698159399,0.06064285714285713
market volatility,247,0.41563737528624384,0.11161133603238865
natural disasters,36,0.26531222271385446,0.19958333333333333
policy cancellations,8,0.2554710352162885,0.09524999999999999
portfolio risk,22,0.3869144920930216,0.10086363636363634
premium increases,93,0.7306829232912322,0.101752688172043
rate increases,4088,0.6053472284903687,0.09718909001956946
reinsurance,11715,0.31991695404318576,0.08687033717456252
risk assessment,21,0.2885876720990295,0.14109523809523808
risk modeling,6,0.44970876216516825,0.11099999999999999
scenario analysis,4,0.00029039185596956403,0.041499999999999995
sea level rise,3,2.1863271721637528e-05,0.09333333333333334
stress testing,41,0.21376679279683578,0.0688780487804878
supply chain disruption,21,0.1779787652040102,0.07328571428571429
sustainability initiatives,1,0.9999998807907104,0.085
sustainability risks,1,1.0,0.142
transition risk,2,0.0022152203600853,0.115
underwriting losses,90,0.1770721041696905,0.06692222222222222
wildfire,360,0.1356962580266187,0.05756944444444444
