year,quarter,keyword,avg_finbert_negative,avg_vader_negative,count,avg_gpt_negative
2007,Q1,flood,0.0007992309983819,0.0,1,0.0
2007,Q1,loss ratios,0.0006007989868521,0.111,1,0.0
2007,Q2,catastrophe,0.2729856505716209,0.17709090909090908,11,0.11457324945009671
2007,Q2,earthquake,0.8884888291358948,0.0,1,0.0
2007,Q2,flood,0.38960431854502525,0.0,5,0.0
2007,Q2,hurricane,0.30524165422449195,0.054,4,0.2219212225505284
2007,Q2,loss ratios,9.638613202213297e-05,0.22466666666666668,3,0.313072403271993
2007,Q2,rate increases,0.00575310228547699,0.0,3,0.0
2007,Q2,reinsurance,0.04829817452831908,0.011545454545454546,22,0.11811929941177368
2007,Q2,risk assessment,2.3327444864662542e-08,0.206,1,0.0
2007,Q2,sustainability initiatives,1.0603884881277281e-08,0.0,1,0.0
2007,Q3,catastrophe,0.3251301144641047,0.18262499999999998,32,0.29820421167782374
2007,Q3,earthquake,0.20890056469943372,0.0,2,0.2497243285179138
2007,Q3,flood,0.029217411298304748,0.0,2,0.0
2007,Q3,hurricane,0.3265675740592637,0.00966666666666665,6,0.2130671977996826
2007,Q3,loss ratios,0.1204963883201711,0.13874999999999998,8,0.08130041758219402
2007,Q3,market exposure,4.499002534430474e-05,0.0,1,0.0
2007,Q3,market volatility,3.907745394826634e-06,0.0,1,0.0
2007,Q3,rate increases,0.327737894913298,0.0,4,0.17346115112304689
2007,Q3,reinsurance,0.23002341001918197,0.04704545454545454,66,0.15762817928160744
2007,Q3,wildfire,0.05086170370729327,0.007666666666666666,3,0.0
2007,Q4,capital markets,0.2502080213366859,0.15774999999999997,4,0.13034485493387496
2007,Q4,catastrophe,0.3465505813362478,0.18735555555555553,45,0.33969532946745556
2007,Q4,earthquake,0.9999902844429016,0.0895,2,0.9471217393875122
2007,Q4,flood,0.2000241252447271,0.024399999999999998,5,0.18749356269836423
2007,Q4,hurricane,0.51200068127946,0.1075,4,0.3306877948343754
2007,Q4,insured losses,0.9318651556968688,0.1369999999999999,1,0.0
2007,Q4,loss ratios,0.036961631841222926,0.1283076923076923,13,0.16846449034554617
2007,Q4,market volatility,0.06343104757965533,0.047,4,0.17445702850818634
2007,Q4,portfolio risk,1.1972282436545356e-06,0.081,1,0.0
2007,Q4,rate increases,0.11632752324599692,0.04099999999999999,9,0.0
2007,Q4,reinsurance,0.17803993362175136,0.03992592592592593,108,0.13130562235839174
2007,Q4,stress testing,0.4552787615793932,0.15699999999999995,2,0.4631481170654297
2007,Q4,wildfire,0.4825477554622921,0.14266666666666664,6,0.40847248690468924
2008,Q1,capital adequacy,6.592753925360738e-05,0.0,1,0.0
2008,Q1,capital markets,0.19919641300803045,0.0477,10,0.08559415052677023
2008,Q1,catastrophe,0.4405059962922718,0.18788636363636363,44,0.3865295737347704
2008,Q1,earthquake,0.20412667747405064,0.006999999999999987,8,0.1688001589341597
2008,Q1,economic losses,0.4932150230742991,0.107,2,0.0
2008,Q1,financial risk,0.1864103227853775,0.144,1,0.0
2008,Q1,hurricane,0.11344476271187881,0.05375,4,0.12455846071243286
2008,Q1,loss ratios,0.13090430135009348,0.1214,15,0.13347951571146646
2008,Q1,market volatility,0.3330232698707297,0.0125,8,0.32235756516456604
2008,Q1,portfolio risk,1.464913657400757e-05,0.081,1,0.0
2008,Q1,rate increases,0.15789612390602945,0.024375,8,0.0
2008,Q1,reinsurance,0.20492198634274217,0.0420632911392405,79,0.14592636426289876
2008,Q1,risk assessment,1.3368508916755673e-05,0.061,1,0.0
2008,Q1,stress testing,0.0016131283482536,0.38,1,0.0
2008,Q2,business interruption,0.0036071920767426,0.123,1,0.0
2008,Q2,capital adequacy,0.2591942846775055,0.0,1,0.0
2008,Q2,capital markets,0.22809126923004175,0.02375,8,0.05139595535066393
2008,Q2,catastrophe,0.35199655719658296,0.20099999999999998,67,0.3732732977185931
2008,Q2,earthquake,0.2981057856231928,0.188,2,0.2665543754895528
2008,Q2,economic losses,0.9311545789241791,0.2825,2,0.7709195911884308
2008,Q2,financial exposure,0.2264906167984009,0.0,1,0.6746357083320618
2008,Q2,financial risk,0.2884168326854706,0.131,1,0.0
2008,Q2,flood,0.413311956967953,0.05157142857142857,14,0.31774699687957764
2008,Q2,hurricane,0.6221718756055452,0.03,8,0.14959438057506785
2008,Q2,loss ratios,0.15884714692215784,0.11822222222222223,18,0.10626100152730941
2008,Q2,market volatility,2.0234018904830012e-08,0.0,1,0.0
2008,Q2,portfolio risk,3.0648054234916344e-05,0.057,1,0.0
2008,Q2,rate increases,0.14859638409689063,0.012,5,0.0
2008,Q2,reinsurance,0.2564975187050537,0.05054054054054054,74,0.16570684836082852
2008,Q2,risk assessment,0.0053993863984942,0.093,1,0.0
2008,Q2,underwriting losses,0.42102376138791436,0.11249999999999995,2,0.4134993851184845
2008,Q3,capital adequacy,0.0006775319131236899,0.0155,4,0.0
2008,Q3,capital markets,0.38903185390113926,0.056124999999999994,16,0.07704520394856279
2008,Q3,catastrophe,0.3688398399864722,0.1985301204819277,83,0.3714875191129664
2008,Q3,flood,0.0007431669946526881,0.0,2,0.5804396092891693
2008,Q3,hurricane,0.5766051284502995,0.08622222222222221,36,0.4290384632903476
2008,Q3,loss ratios,0.5709688180808712,0.13028571428571428,7,0.3492610255877177
2008,Q3,market volatility,0.2989689975722781,0.04257142857142858,7,0.36946054867335726
2008,Q3,portfolio risk,0.0001054458480211,0.045,1,0.0
2008,Q3,rate increases,0.1888754380413003,0.02727272727272727,11,0.04855120678742727
2008,Q3,reinsurance,0.21781068631388956,0.042016,125,0.16549224165123952
2008,Q3,stress testing,0.9941861629486084,0.123,1,0.0
2008,Q3,underwriting losses,0.9999994039535522,0.178,1,0.9386380612850189
2008,Q4,capital adequacy,0.3333332240838693,0.07566666666666666,3,0.2863680919011434
2008,Q4,capital markets,0.49183882201800266,0.09733333333333333,9,0.062160880669303566
2008,Q4,catastrophe,0.31940777867638515,0.21424074074074073,54,0.3008018033717995
2008,Q4,earthquake,0.1905458270991964,0.024666666666666667,3,0.0
2008,Q4,economic losses,0.999974250793457,0.187,1,0.8343824148178101
2008,Q4,financial exposure,4.924086624669144e-06,0.0,1,0.0
2008,Q4,financial risk,0.9999997615814208,0.245,1,0.9641258120536804
2008,Q4,flood,0.3333414262854906,0.02,3,0.31735603014628094
2008,Q4,hurricane,0.5713192858565229,0.07966666666666668,12,0.4314820250949344
2008,Q4,loss ratios,0.0006405554234323819,0.14719999999999997,5,0.0
2008,Q4,market volatility,0.6667271830665413,0.068,3,0.6264918843905131
2008,Q4,portfolio risk,0.00398608850082375,0.0905,2,0.0
2008,Q4,premium increases,0.0002001487882807,0.0,1,0.682935357093811
