keyword,count,avg_finbert,avg_vader
actuarial adjustments,11,0.37857157846362743,0.076
business interruption,315,0.04396700882381378,0.05570476190476193
capital adequacy,131,0.6627588858760978,0.15945801526717568
capital markets,364,0.38664636628277965,0.11226373626373631
carbon emissions,3,0.19357425673418524,0.07466666666666667
carbon footprint,9,0.6475095481008692,0.14066666666666666
catastrophe,7877,0.36926106984102924,0.07798298844737876
claims reserves,20,0.17324472600564675,0.0884
climate adaptation,5,0.009364677262783516,0.119
climate change,161,0.1442404178184721,0.07705590062111803
climate risk,14,0.07220443021135635,0.06014285714285715
disaster recovery,2,0.0002872401248623646,0.0195
drought,113,0.16098450106466805,0.07116814159292038
earthquake,425,0.1344096382906219,0.055712941176470604
economic losses,10,0.05566356393107128,0.08969999999999999
extreme weather,24,0.20110187212855082,0.08008333333333334
financial exposure,14,0.059918818322509004,0.05357142857142856
financial risk,18,0.20642736390369817,0.07083333333333335
flood,541,0.12316544285827728,0.058341959334565645
greenhouse gases,1,0.9336228966712952,0.0
hurricane,1340,0.18040344675389614,0.06458955223880589
insured losses,33,0.20370981838376187,0.034393939393939386
loss ratios,1013,0.4434957963459223,0.08699605133267517
market exposure,14,0.1897400698252947,0.06064285714285713
market volatility,247,0.4156373751449711,0.11161133603238864
natural disasters,36,0.26531222271385446,0.19958333333333336
policy cancellations,8,0.25547103521628856,0.09525
portfolio risk,22,0.3869144650000012,0.10086363636363638
premium increases,93,0.7306829232912322,0.10175268817204298
rate increases,4088,0.6053472276542401,0.09718909001956948
reinsurance,11715,0.31991695400304215,0.08687033717456276
risk assessment,21,0.2885876667768289,0.1410952380952381
risk modeling,6,0.44970876216516825,0.11099999999999999
scenario analysis,4,0.00029039185596957395,0.041499999999999995
sea level rise,3,2.1863271721637528e-05,0.09333333333333334
stress testing,41,0.21376679279683578,0.0688780487804878
supply chain disruption,21,0.17797876520920736,0.07328571428571429
sustainability initiatives,1,0.9999998807907104,0.085
sustainability risks,1,1.0,0.142
transition risk,2,0.002215220360085368,0.115
underwriting losses,90,0.1770721041693065,0.0669222222222222
wildfire,360,0.13569625807205682,0.057569444444444416
