TICKER,YEAR,QUARTER,AVG_FINBERT_NEGATIVE,AVG_VADER_NEGATIVE
ACGL,2022,1Q,0.34874209140030227,0.1072
ACGL,2022,2Q,0.3491963631089125,0.11328301886792454
ACGL,2022,3Q,0.37939155766906685,0.12422950819672132
ACGL,2022,4Q,0.24075472686086433,0.07023636363636364
ACGL,2023,1Q,0.2208830232077139,0.09356
ACGL,2023,2Q,0.30463481625420685,0.09685714285714286
ACGL,2023,3Q,0.24808477857596126,0.097
ACGL,2023,4Q,0.25947306129633413,0.08703448275862069
ACGL,2024,1Q,0.2949509841691249,0.08786206896551724
ACGL,2024,2Q,0.3183712768284447,0.10035185185185184
ACGL,2024,3Q,0.30763657236465747,0.09961666666666667
ACGL,2024,4Q,0.262401373654495,0.09130357142857141
AIG,2020,4Q,0.14003471340549925,0.0768
AIG,2021,2Q,0.2700592715559651,0.214
AIG,2021,4Q,0.17787273380633145,0.09293333333333333
AIG,2022,1Q,0.23737282703547993,0.10885714285714286
AIG,2022,2Q,0.36748055364606386,0.2326
AIG,2022,3Q,0.23975352227258206,0.168
AIG,2022,4Q,0.1199828629606251,0.1116875
AIG,2023,1Q,0.24607121499548432,0.07775
AIG,2023,2Q,0.4881929582731632,0.11133333333333334
AIG,2023,3Q,0.14314742993590335,0.145
AIG,2024,3Q,0.22222027414883955,0.09666666666666666
AIG,2024,4Q,0.07184830677253563,0.07707142857142857
ALL,2020,4Q,0.25202529533999035,0.432
ALL,2021,2Q,0.25005167616728835,0.10425000000000001
ALL,2021,3Q,0.3933390766940192,0.19133333333333336
ALL,2021,4Q,0.5214324464679597,0.12483333333333334
ALL,2022,1Q,0.18972491120394844,0.10791666666666666
ALL,2022,2Q,0.34593172043608117,0.08600000000000001
ALL,2022,3Q,0.4996574461127352,0.15025
ALL,2022,4Q,0.6661942244134025,0.139
ALL,2023,1Q,0.6686891049565133,0.10425000000000001
ALL,2023,2Q,0.3348194177911929,0.08257142857142859
ALL,2024,3Q,0.16147671668937844,0.09023076923076924
ALL,2024,4Q,0.056868747651329196,0.10355555555555557
