TICKER,YEAR,QUARTER,AVG_FINBERT_NEGATIVE,AVG_VADER_NEGATIVE
ACGL,2022,3Q,8.639537050880719e-06,0.0
ACGL,2022,4Q,0.09992855149907341,0.0
ACGL,2023,1Q,2.153763611900672e-09,0.0
ACGL,2023,2Q,1.7905325000455719e-09,0.046
ACGL,2024,1Q,0.9999983310699464,0.0
ACGL,2024,2Q,0.9999970197677612,0.0
ACGL,2024,3Q,0.0427956469357013,0.061
ACGL,2024,4Q,0.7109491725762686,0.11033333333333334
AIG,2021,4Q,0.012131933375106431,0.0
AIG,2022,1Q,0.7169486880302429,0.0
AIG,2023,2Q,0.9819980263710022,0.0
AIG,2024,4Q,0.1671900270621773,0.10283333333333333
ALL,2021,3Q,0.1807768195867538,0.157
ALL,2024,4Q,0.08509322729495204,0.164
KNSL,2022,3Q,0.006846872365926504,0.17149999999999999
KNSL,2024,4Q,0.5008150233188643,0.088
SKWD,2024,4Q,0.4860588610172272,0.097
TRV,2020,1Q,0.0409785583615303,0.066
TRV,2020,2Q,0.7499493178311241,0.16725
TRV,2020,3Q,0.999832272529602,0.225
TRV,2020,4Q,0.24858532994358032,0.10375
TRV,2021,3Q,0.9892433484395345,0.10933333333333334
TRV,2021,4Q,0.22904082226887107,0.068
TRV,2022,3Q,0.1669864750529377,0.052
TRV,2023,2Q,0.0080184872858808,0.0715
TRV,2024,4Q,0.3186445496876943,0.11272727272727273
WRB,2022,3Q,1.0287498108940696e-07,0.028749999999999998
WRB,2024,3Q,0.023162317512401342,0.028999999999999998
WRB,2024,4Q,0.4327582057848834,0.11583333333333334
