TICKER,YEAR,QUARTER,AVG_FINBERT_NEGATIVE
ACGL,2022,Q3,0.0
ACGL,2022,Q4,0.0
ACGL,2023,Q1,0.0
ACGL,2023,Q2,0.0
ACGL,2024,Q1,0.8574690818786621
ACGL,2024,Q2,0.8353817462921143
ACGL,2024,Q3,0.4834333062171936
ACGL,2024,Q4,0.9123754700024923
AIG,2021,Q4,0.0
AIG,2022,Q1,0.0
AIG,2023,Q2,0.8622875809669495
AIG,2024,Q4,0.1558302640914917
ALL,2021,Q3,0.9373627305030824
ALL,2024,Q4,0.5291852951049805
KNSL,2022,Q3,0.2646118998527527
KNSL,2024,Q4,0.3833613097667694
PGR,2021,Q3,0.9400741060574851
PGR,2022,Q3,0.4596380591392517
PGR,2022,Q4,0.5626745820045471
PGR,2023,Q1,0.8647277355194092
PGR,2023,Q3,0.8298283219337463
PGR,2024,Q3,0.0
PGR,2024,Q4,0.8826098243395487
PGR,2025,Q1,0.4745567739009857
SKWD,2024,Q4,0.8963533639907837
TRV,2020,Q1,0.0
TRV,2020,Q2,0.7572953626513481
TRV,2020,Q3,0.4870100021362304
TRV,2020,Q4,0.44607315957546234
TRV,2021,Q3,0.5848865509033203
TRV,2021,Q4,0.22120201587677002
TRV,2022,Q3,0.1408651868502299
TRV,2023,Q2,0.0
TRV,2024,Q4,0.24936598539352417
WRB,2022,Q3,0.0
WRB,2024,Q3,0.26976855595906574
WRB,2024,Q4,0.31761138637860614
