Year,Quarter,avg_finbert,avg_vader
2020,1Q,0.22188949049641118,0.06466666666666668
2020,2Q,0.1811651712663381,0.05573913043478261
2020,3Q,0.26861317662428796,0.09306666666666666
2020,4Q,0.36429876009717443,0.06294285714285713
2021,1Q,0.5269968290494318,0.0951875
2021,2Q,0.3378586499529889,0.08448076923076922
2021,3Q,0.4404928169827608,0.08975
2021,4Q,0.30612292922405465,0.05803571428571429
2021,Q1,0.0,0.05654152249134948
2021,Q2,0.0,0.05543993231810491
2021,Q3,0.0,0.05983370288248337
2021,Q4,0.0,0.0605188679245283
2022,1Q,0.3481700717928445,0.06899180327868852
2022,2Q,0.4190587181744118,0.07584166666666667
2022,3Q,0.42298916559771116,0.091578231292517
2022,4Q,0.3615186115668166,0.081
2022,Q1,0.0,0.0544625
2022,Q2,0.0,0.053258097165991905
2022,Q3,0.0,0.05317712550607288
2022,Q4,0.0,0.056044687189672295
2023,1Q,0.448255721347281,0.10313084112149533
2023,2Q,0.3378407149582434,0.08281250000000001
2023,3Q,0.4880342302430392,0.0984179104477612
2023,4Q,0.474040044484463,0.09379411764705882
2023,Q1,0.0,0.055251872659176034
2023,Q2,0.0,0.05116541353383459
2023,Q3,0.0,0.054401960784313724
2024,1Q,0.39489309654984617,0.08626966292134831
2024,2Q,0.3823423080487448,0.08990109890109892
2024,3Q,0.3634674537072735,0.08863432835820896
2024,4Q,0.3667105975276313,0.08236144578313254
2024,Q3,0.0,0.06255679702048417
2024,Q4,0.0,0.0635875273522976
2025,Q1,0.0,0.06435690235690236
