TICKER,YEAR,QUARTER,AVG_FINBERT_NEGATIVE,AVG_VADER_NEGATIVE
ACGL,2007,4Q,0.16831250306132628,0.04577777777777778
ACGL,2008,1Q,0.19989429695403563,0.040035714285714286
ACGL,2008,2Q,0.3668625791370921,0.06281818181818183
ACGL,2008,3Q,0.14315794447254723,0.020749999999999998
ACGL,2008,4Q,0.22851034282671231,0.06688461538461538
ACGL,2009,1Q,0.13243269080526188,0.04742105263157895
ACGL,2009,2Q,0.11608286968421756,0.04273076923076923
ACGL,2009,3Q,0.14939130735853876,0.0670625
ACGL,2009,4Q,0.2857521119683526,0.04615384615384615
ACGL,2010,1Q,0.20541155058242563,0.06196551724137931
ACGL,2010,2Q,0.15840931294820418,0.052766666666666656
ACGL,2010,3Q,0.3386580198754333,0.03207142857142857
ACGL,2010,4Q,0.23043718996700585,0.02738888888888889
ACGL,2011,1Q,0.23334284279413522,0.06073913043478261
ACGL,2011,2Q,0.1454476461327215,0.05370967741935484
ACGL,2011,3Q,0.30430467984477255,0.06599999999999999
ACGL,2011,4Q,0.31830721544692814,0.08209090909090909
ACGL,2012,1Q,0.13400800160628482,0.04891891891891892
ACGL,2012,2Q,0.03648072718988615,0.04153125
ACGL,2012,3Q,0.1820207102380933,0.0564313725490196
ACGL,2012,4Q,0.09984561871178432,0.047689655172413796
ACGL,2013,1Q,0.0762611516190169,0.03642857142857142
ACGL,2013,2Q,0.10364352902799545,0.037475
ACGL,2013,3Q,0.06715932220082713,0.04569565217391304
ACGL,2013,4Q,0.1095450798207934,0.050733333333333325
ACGL,2014,1Q,0.07691117823141938,0.07670212765957447
ACGL,2014,2Q,0.17130591137547835,0.05606818181818181
ACGL,2014,3Q,0.18207122224212638,0.054062499999999986
ACGL,2014,4Q,0.14424697082735322,0.04841666666666666
ACGL,2015,1Q,0.19164953882396799,0.03908
ACGL,2015,2Q,0.23351798878328156,0.04432203389830508
ACGL,2015,3Q,0.1637043378673797,0.03697826086956522
ACGL,2015,4Q,0.2635161360129327,0.05946666666666666
ACGL,2016,1Q,0.1263189009810871,0.029510204081632654
ACGL,2016,2Q,0.16517700609279382,0.02911904761904762
ACGL,2016,3Q,0.08917910258647438,0.03654166666666667
ACGL,2016,4Q,0.13445003667939778,0.06338095238095239
ACGL,2017,1Q,0.20229072827695235,0.07177777777777777
ACGL,2017,2Q,0.23848512314117312,0.07048148148148146
ACGL,2017,3Q,0.36996491557840433,0.09886666666666666
ACGL,2017,4Q,0.22948519370435325,0.05110526315789473
ACGL,2018,1Q,0.17728271503902807,0.054785714285714285
ACGL,2018,2Q,0.21505939096662965,0.056071428571428564
ACGL,2018,3Q,0.27104929479142964,0.08752173913043478
ACGL,2018,4Q,0.2167652682803358,0.0938888888888889
ACGL,2019,1Q,0.3112567890847753,0.07243478260869564
ACGL,2019,2Q,0.13917625976708298,0.06746153846153846
ACGL,2019,3Q,0.17966634198740736,0.05579999999999999
ACGL,2019,4Q,0.21516133630751713,0.05248571428571428
ACGL,2020,1Q,0.15475703733016255,0.07651515151515151
ACGL,2020,2Q,0.15499068815671266,0.0554375
ACGL,2020,3Q,0.07197690709509803,0.034741935483870966
ACGL,2020,4Q,0.0733131799687229,0.022071428571428568
ACGL,2021,1Q,0.10398490519572369,0.05277777777777778
ACGL,2021,2Q,0.10784671182664689,0.03321428571428572
ACGL,2021,3Q,0.103784353821316,0.06299999999999999
ACGL,2021,4Q,0.048783619069803025,0.037647058823529415
ACGL,2022,1Q,0.15995421755052178,0.06152173913043479
ACGL,2022,2Q,0.14714776099108615,0.058916666666666666
ACGL,2022,3Q,0.07455948739983648,0.04320588235294117
ACGL,2022,4Q,0.059327378071637266,0.022851851851851852
ACGL,2023,1Q,0.09050341872452991,0.03217241379310345
ACGL,2023,2Q,0.15562657833277554,0.048799999999999996
ACGL,2023,3Q,0.119336454969092,0.0801470588235294
ACGL,2023,4Q,0.21924123945697271,0.058333333333333334
ACGL,2024,1Q,0.16836434016298388,0.05225
ACGL,2024,2Q,0.3387656389193334,0.15405882352941175
ACGL,2024,3Q,0.19271419855866473,0.054281249999999996
AFG,2007,3Q,0.3193673422845535,0.20179999999999998
AFG,2007,4Q,0.4486452672347114,0.1635
