TICKER,YEAR,QUARTER,AVG_FINBERT_NEGATIVE
ACGL,2007,Q4,0.08060912463975989
ACGL,2008,Q1,0.08463097702373158
ACGL,2008,Q2,0.2798318142692248
ACGL,2008,Q3,0.1247547359570213
ACGL,2008,Q4,0.17449752520769835
ACGL,2009,Q1,0.18425452488440056
ACGL,2009,Q2,0.05729305180343422
ACGL,2009,Q3,0.04917808294296264
ACGL,2009,Q4,0.31500902874716397
ACGL,2010,Q1,0.10432978687079056
ACGL,2010,Q2,0.07656458906225257
ACGL,2010,Q3,0.1846334868007236
ACGL,2010,Q4,0.08689225859501783
ACGL,2011,Q1,0.22436987794935703
ACGL,2011,Q2,0.09416689057099192
ACGL,2011,Q3,0.1595940521130195
ACGL,2011,Q4,0.20192152976989747
ACGL,2012,Q1,0.09391593108785913
ACGL,2012,Q2,0.07891059666872025
ACGL,2012,Q3,0.14525443459710768
ACGL,2012,Q4,0.1662067017134498
ACGL,2013,Q1,0.12013935270132842
ACGL,2013,Q2,0.1885313635522669
ACGL,2013,Q3,0.05322660620395954
ACGL,2013,Q4,0.12487794991050448
ACGL,2014,Q1,0.08076924085617065
ACGL,2014,Q2,0.16116255521774292
ACGL,2014,Q3,0.14552606228325102
ACGL,2014,Q4,0.12164941478948124
ACGL,2015,Q1,0.1529092671293201
ACGL,2015,Q2,0.18113214123076288
ACGL,2015,Q3,0.14104249328374863
ACGL,2015,Q4,0.21622107112616823
ACGL,2016,Q1,0.13710983507875082
ACGL,2016,Q2,0.25579906821250914
ACGL,2016,Q3,0.0967556219547987
ACGL,2016,Q4,0.17649213543960027
ACGL,2017,Q1,0.20017680876395283
ACGL,2017,Q2,0.1786967227535863
ACGL,2017,Q3,0.22218141827402235
ACGL,2017,Q4,0.2207749067468846
ACGL,2018,Q1,0.14319980475637648
ACGL,2018,Q2,0.28279316052794456
ACGL,2018,Q3,0.19006937512984642
ACGL,2018,Q4,0.14260586920906515
ACGL,2019,Q1,0.2372004304613386
ACGL,2019,Q2,0.1994483002594539
ACGL,2019,Q3,0.20546011482515641
ACGL,2019,Q4,0.1537715438249949
ACGL,2020,Q1,0.14424609884302667
ACGL,2020,Q2,0.14504729829183438
ACGL,2020,Q3,0.13495220541954042
ACGL,2020,Q4,0.1641756534576416
ACGL,2021,Q1,0.18104411164919534
ACGL,2021,Q2,0.07137608187539236
ACGL,2021,Q3,0.07321774694654677
ACGL,2021,Q4,0.03684694528579712
ACGL,2022,Q1,0.11581187563783982
ACGL,2022,Q2,0.19694053209744966
ACGL,2022,Q3,0.04544276850564139
ACGL,2022,Q4,0.044733655758393116
ACGL,2023,Q1,0.0321206720102401
ACGL,2023,Q2,0.10003209114074707
ACGL,2023,Q3,0.05158486008644104
ACGL,2023,Q4,0.0823290960656272
ACGL,2024,Q1,0.11787730769107216
ACGL,2024,Q2,0.06424783170223236
ACGL,2024,Q3,0.1646191727283389
AFG,2007,Q3,0.5737386107444763
AFG,2007,Q4,0.2668066450527736
AFG,2008,Q1,0.1437127192815145
AFG,2008,Q2,0.3335939310491085
AFG,2008,Q3,0.318909921429374
AFG,2008,Q4,0.5384345889091492
AFG,2009,Q1,0.44372743368148804
AFG,2009,Q2,0.29700331687927245
AFG,2009,Q3,0.3824496439525059
AFG,2009,Q4,0.3962756892045339
AFG,2010,Q1,0.52656432560512
AFG,2010,Q3,0.1485528846581777
AFG,2010,Q4,0.6921127960085869
AFG,2011,Q1,0.2565709480217525
AFG,2011,Q2,0.2739338783117441
AFG,2011,Q3,0.5413182725509008
AFG,2011,Q4,0.2733483182059394
AFG,2012,Q1,0.09871853142976761
AFG,2012,Q2,0.14086228940221998
AFG,2012,Q3,0.053191142923691696
AFG,2012,Q4,0.2971946100393931
AFG,2013,Q1,0.3994172896657671
AFG,2013,Q2,0.5200749418952249
AFG,2013,Q3,0.17429587474236122
AFG,2013,Q4,0.320374459028244
