TICKER,YEAR,QUARTER,AVG_FINBERT_NEGATIVE,AVG_VADER_NEGATIVE
ACGL,2008,3Q,0.0167904403060674,0.0
ACGL,2008,4Q,0.49734760494902724,0.195
ACGL,2009,1Q,0.2839886926942752,0.09899999999999999
ACGL,2009,2Q,0.014329821148749002,0.0
ACGL,2009,3Q,0.9988258481025696,0.068
ACGL,2009,4Q,0.667425318621099,0.09500000000000001
ACGL,2010,1Q,0.23328658466925842,0.08133333333333333
ACGL,2010,2Q,0.0026347205081643666,0.07966666666666666
ACGL,2010,3Q,0.5583211076445878,0.021
ACGL,2010,4Q,0.542205429635942,0.01825
ACGL,2011,1Q,0.29353925220285804,0.03742857142857143
ACGL,2011,2Q,0.20998246470117007,0.057999999999999996
ACGL,2011,3Q,0.6650924546023209,0.10333333333333333
ACGL,2011,4Q,0.736404553490047,0.05699999999999997
ACGL,2012,1Q,0.30855029579834076,0.04466666666666667
ACGL,2012,3Q,0.328370164763146,0.07206666666666667
ACGL,2013,2Q,0.0005074962391518,0.089
ACGL,2014,2Q,0.7484785318374634,0.0
ACGL,2015,3Q,0.0008427092689089,0.0
ACGL,2016,1Q,0.0003594197623897,0.0
ACGL,2016,4Q,0.4403831660747528,0.0
ACGL,2017,1Q,2.9839735361747444e-05,0.123
ACGL,2017,3Q,0.6300601364669597,0.14444444444444443
ACGL,2017,4Q,0.42576635788593975,0.08842857142857143
ACGL,2018,1Q,0.5287852715700865,0.1355
ACGL,2018,3Q,0.9999870061874392,0.088
ACGL,2018,4Q,0.3570463774376549,0.19133333333333336
ACGL,2019,1Q,0.026196164883003772,0.0
ACGL,2019,4Q,0.9991092085838318,0.206
ACGL,2020,1Q,0.0014992359792813,0.047
ACGL,2020,2Q,0.012774605536833369,0.036
ACGL,2021,3Q,0.9999561309814452,0.0
ACGL,2022,3Q,0.12333777663297947,0.031
ACGL,2023,1Q,7.392655243165791e-05,0.0
ACGL,2023,2Q,0.013491308362669435,0.0
ACGL,2023,3Q,0.1806402653455734,0.095
ACGL,2024,3Q,0.39245830588042735,0.0306
AFG,2007,3Q,0.4154093265533447,0.0
AFG,2007,4Q,0.9999818801879884,0.076
AFG,2008,2Q,0.41123801056273807,0.0378
AFG,2008,3Q,0.9936463832855223,0.092
AFG,2009,2Q,0.9998733997344972,0.055
AFG,2009,3Q,0.0001702399313217,0.0
AFG,2010,1Q,0.9999922513961792,0.11
AFG,2011,1Q,0.644949962986478,0.122
AFG,2011,2Q,0.8182865977287292,0.124
AFG,2011,4Q,1.8532965384565614e-08,0.065
AFG,2012,2Q,0.9999794960021973,0.036
AFG,2012,3Q,0.2406973608769476,0.0852
AFG,2012,4Q,9.753382812505153e-08,0.15
AFG,2013,1Q,0.6823266893625259,0.093
AFG,2013,3Q,0.999138116836548,0.067
AFG,2013,4Q,0.4871551790188278,0.03
AFG,2015,3Q,2.9694160019744238e-08,0.0
AFG,2016,3Q,0.6667136217389876,0.07833333333333332
AFG,2017,2Q,0.9999399185180664,0.091
AFG,2017,3Q,0.424772275856958,0.03089999999999999
AFG,2017,4Q,0.2351198922842741,0.02799999999999995
AFG,2018,1Q,0.026638951152563,0.0
AFG,2018,3Q,0.9969393014907836,0.074
AFG,2019,1Q,0.0029273165867899622,0.0
AFG,2019,2Q,0.2013472467660904,0.0
AFG,2019,3Q,0.9999990463256836,0.0
AFG,2020,2Q,0.0018751674797385,0.0
AFG,2021,2Q,0.1528621496918276,0.024125
AFG,2021,3Q,0.5360130434855819,0.0925
AFG,2021,4Q,1.6468703734062728e-07,0.093
AFG,2022,2Q,0.097379982471466,0.067
AFG,2022,3Q,0.5360130434855819,0.0925
AFG,2022,4Q,1.6468703734062728e-07,0.093
AFG,2023,1Q,0.05166186759470289,0.0
AFG,2023,2Q,7.259666290337918e-06,0.0
AFG,2024,1Q,0.6455449683092146,0.06533333333333334
AFG,2024,2Q,0.5132944189404395,0.0
AFG,2024,3Q,0.5922085026744753,0.08359999999999998
AFL,2011,1Q,0.5000366028398275,0.0
AFL,2011,2Q,3.040506271645427e-05,0.054
AFL,2011,3Q,0.8623759150505066,0.12833333333333333
AFL,2017,3Q,0.3209289333797779,0.0325
AFL,2018,3Q,0.5209952925166969,0.014499999999999999
AFL,2020,1Q,0.9679704308509827,0.05799999999999995
AFL,2020,2Q,4.120101948501542e-06,0.0
AFL,2021,1Q,0.19320547580718994,0.1395
AIG,2007,4Q,0.5601729676127434,0.18849999999999995
AIG,2011,1Q,0.9999080896377563,0.119
AIG,2011,3Q,0.6531421998883413,0.10225000000000001
AIG,2012,3Q,0.5092545477673411,0.0705
AIG,2013,2Q,0.9984171390533448,0.0
AIG,2015,3Q,0.1078200116753578,0.0
AIG,2015,4Q,0.17640329286223275,0.0195
AIG,2016,1Q,0.9886899590492249,0.059
AIG,2016,3Q,0.9961926937103271,0.076
AIG,2017,3Q,0.6385850459337234,0.0
AIG,2017,4Q,0.9999403953552246,0.0875
AIG,2018,1Q,0.9994532465934752,0.162
AIG,2018,2Q,0.7629020214080809,0.084
AIG,2018,3Q,0.2766977681803837,0.0098
AIG,2018,4Q,0.33595672231361573,0.047999999999999994
AIG,2019,3Q,0.6666986459652738,0.079
AIG,2019,4Q,0.0075015998445451,0.0
AIG,2020,3Q,0.2835635542869568,0.173
AIG,2020,4Q,0.993744432926178,0.11
AIG,2021,2Q,0.0001141948450822,0.0
AIG,2021,3Q,0.2411538078140438,0.04066666666666666
AIG,2021,4Q,0.9997397859891256,0.13966666666666666
AIG,2022,1Q,0.999948263168335,0.138
AIG,2022,2Q,0.9990510344505308,0.134
AIG,2022,3Q,0.5856862091803123,0.13219999999999998
AIG,2022,4Q,0.0008757074874665281,0.062
AIG,2023,1Q,0.23013047873973846,0.08849999999999995
AIG,2023,2Q,0.9072746485471725,0.0
AIG,2023,4Q,0.5178670099121518,0.09899999999999999
AIG,2024,2Q,4.287471824682144e-05,0.053
AIZ,2008,2Q,0.2472486428421856,0.03025
AIZ,2008,3Q,0.20326221159109675,0.027800000000000002
AIZ,2009,3Q,0.004043651279062,0.0
AIZ,2009,4Q,0.0051766472672855855,0.0445
AIZ,2010,1Q,3.436099142106741e-06,0.0275
AIZ,2010,2Q,0.5883656889200211,0.0555
AIZ,2011,1Q,0.0949721410870552,0.0
AIZ,2011,3Q,0.020710332436578705,0.0
AIZ,2011,4Q,0.0029114284111528407,0.0
AIZ,2012,1Q,0.01302777966338905,0.0
AIZ,2012,2Q,5.8855103901578325e-08,0.0409999999999999
AIZ,2012,4Q,0.3973596876021474,0.1035
AIZ,2013,1Q,0.0108097065240144,0.0
AIZ,2013,2Q,0.0001076895132428,0.0
AIZ,2013,3Q,3.459950845219328e-05,0.048
AIZ,2013,4Q,1.3207980487095485e-08,0.131
AIZ,2014,2Q,0.000164526325534,0.0
AIZ,2014,3Q,3.808446558117851e-09,0.0
AIZ,2014,4Q,4.7535738900705844e-08,0.15
AIZ,2015,1Q,1.0326175380770408e-05,0.043
AIZ,2015,2Q,0.0043893358670175,0.0
AIZ,2015,3Q,0.01606666050419538,0.0
AIZ,2016,1Q,4.537153329708943e-06,0.0
AIZ,2016,2Q,0.9999971389770508,0.23
AIZ,2016,3Q,0.20898566658161227,0.05153333333333333
AIZ,2017,3Q,0.6656710029544305,0.03966666666666666
AIZ,2017,4Q,0.29870176389114206,0.016833333333333315
AIZ,2018,1Q,2.4312146251759264e-07,0.0
AIZ,2018,2Q,2.2797434873211844e-07,0.11449999999999999
AIZ,2018,3Q,0.4922411364637907,0.06116666666666665
AIZ,2018,4Q,0.9999972581863404,0.152
AIZ,2019,3Q,0.0023450020235031496,0.032
AIZ,2019,4Q,0.2026733213778047,0.0
AIZ,2020,1Q,0.9881463050842284,0.0
AIZ,2020,3Q,0.7171724051926809,0.0485
AIZ,2020,4Q,0.6136566549539566,0.065
AIZ,2021,1Q,1.4547571716150287e-06,0.0415
AIZ,2021,2Q,1.1372374814300201e-05,0.0
AIZ,2021,3Q,0.9999576807022096,0.129
AIZ,2022,3Q,0.0021599347237497,0.0
AIZ,2023,2Q,0.006735485406631251,0.0
AIZ,2023,3Q,0.0004120501980651,0.0
AIZ,2023,4Q,0.0006482963217422,0.0
