TICKER,YEAR,QUARTER,AVG_FINBERT_NEGATIVE
ACGL,2008,Q3,0.4389127194881439
ACGL,2008,Q4,0.4512496888637543
ACGL,2009,Q1,0.5821521679560343
ACGL,2009,Q2,0.0
ACGL,2009,Q3,0.0
ACGL,2009,Q4,0.46803200244903564
ACGL,2010,Q1,0.2221206682068961
ACGL,2010,Q2,0.0
ACGL,2010,Q3,0.1884189397096634
ACGL,2010,Q4,0.24747616425156593
ACGL,2011,Q1,0.3681516448656718
ACGL,2011,Q2,0.15490342378616334
ACGL,2011,Q3,0.28952425718307495
ACGL,2011,Q4,0.379815673828125
ACGL,2012,Q1,0.16513033211231232
ACGL,2012,Q2,0.0
ACGL,2012,Q3,0.14720177336743004
ACGL,2012,Q4,0.5701587796211243
ACGL,2013,Q2,0.4640524387359619
ACGL,2014,Q2,0.8027958869934082
ACGL,2015,Q1,0.0
ACGL,2015,Q3,0.4775237441062927
ACGL,2016,Q1,0.0
ACGL,2016,Q2,0.9590442776679992
ACGL,2016,Q3,0.0
ACGL,2016,Q4,0.7216933369636536
ACGL,2017,Q1,0.0
ACGL,2017,Q3,0.4041832946240902
ACGL,2017,Q4,0.3508280244740573
ACGL,2018,Q1,0.0
ACGL,2018,Q3,0.4345342516899109
ACGL,2018,Q4,0.08709931373596191
ACGL,2019,Q1,0.0
ACGL,2019,Q3,0.9393122792243958
ACGL,2019,Q4,0.6867839694023132
ACGL,2020,Q1,0.453451544046402
ACGL,2020,Q2,0.17816426356633505
ACGL,2020,Q3,0.9480448365211488
ACGL,2020,Q4,0.9322545528411864
ACGL,2021,Q3,0.4618163704872132
ACGL,2022,Q1,0.4438225328922272
ACGL,2022,Q2,0.9073425531387328
ACGL,2022,Q3,0.11928726732730865
ACGL,2023,Q1,0.0
ACGL,2023,Q2,0.0
ACGL,2023,Q3,0.3075668017069499
ACGL,2024,Q3,0.49005359411239624
AFG,2007,Q3,0.4994486570358276
AFG,2007,Q4,0.9520407319068908
AFG,2008,Q2,0.43321401874224347
AFG,2008,Q3,0.4632590711116791
AFG,2009,Q2,0.0
AFG,2009,Q3,0.0
AFG,2010,Q1,0.9728906750679016
AFG,2011,Q1,0.3096969525019328
AFG,2011,Q2,0.32240062952041626
AFG,2011,Q3,0.9104427099227904
AFG,2011,Q4,0.0
AFG,2012,Q2,0.4847949594259262
AFG,2012,Q3,0.0
AFG,2012,Q4,0.41614870727062225
AFG,2013,Q1,0.43217191100120544
AFG,2013,Q3,0.6544722318649292
AFG,2013,Q4,0.3237513303756714
AFG,2015,Q3,0.0
AFG,2016,Q3,0.242723286151886
AFG,2017,Q2,0.9351423978805542
AFG,2017,Q3,0.17572019894917806
AFG,2017,Q4,0.3596980348229408
AFG,2018,Q1,0.0
