Year,Quarter,Damages
2000,1Q,0.0
2000,2Q,0.0
2000,3Q,1769464.0
2000,4Q,1272245.0
2001,1Q,3097.0
2001,2Q,10324983.0
2003,1Q,662545.0
2003,2Q,82818.0
2003,3Q,0.0
2003,4Q,0.0
2004,3Q,85498232.0
2005,3Q,198509222.0
2005,4Q,22311419.0
2006,4Q,136033.0
2007,1Q,191043.0
2008,3Q,2179448.0
2009,2Q,0.0
2011,1Q,2573732.0
2011,2Q,5012005.0
2011,3Q,9888551.0
2012,1Q,6635666.0
2012,2Q,230921.0
2013,1Q,523189.0
2013,2Q,7717044.0
2013,4Q,130797.0
2014,2Q,2574188.0
2015,2Q,1221291.0
2015,3Q,128557.0
2016,1Q,5966896.0
2016,3Q,761731.0
2016,4Q,12695523.0
2017,1Q,2610454.0
2017,3Q,70855178.0
2017,4Q,310768.0
2018,2Q,1577466.0
2018,4Q,19414962.0
2019,1Q,226449.0
2019,3Q,1906937.0
2019,4Q,280081.0
2020,2Q,3531938.0
2020,3Q,13068171.0
2020,4Q,1765969.0
2021,2Q,1062640.0
2021,3Q,2811216.0
2022,1Q,0.0
2022,2Q,5603545.0
2022,4Q,105516773.0
2023,2Q,9450000.0
2023,3Q,3500000.0
2024,1Q,0.0
2024,2Q,0.0
2024,3Q,0.0
2024,4Q,0.0
