Year,Quarter,Damages
2000,3Q,1769464
2000,4Q,1272245
2001,1Q,3097
2001,2Q,10324983
2003,1Q,662545
2003,2Q,82818
2004,3Q,85498232
2005,3Q,198509222
2005,4Q,22311419
2006,4Q,136033
2007,1Q,191043
2008,3Q,2179448
2011,1Q,2573732
2011,2Q,5012005
2011,3Q,9888551
2012,1Q,6635666
2012,2Q,230921
2013,1Q,523189
2013,2Q,7717044
2013,4Q,130797
2014,2Q,2574188
2015,2Q,1221291
2015,3Q,128557
2016,1Q,5966896
2016,3Q,761731
2016,4Q,12695523
2017,1Q,2610454
2017,3Q,70855178
2017,4Q,310768
2018,2Q,1577466
2018,4Q,19414962
2019,1Q,226449
2019,3Q,1906937
2019,4Q,280081
2020,2Q,3531938
2020,3Q,13068171
2020,4Q,1765969
2021,2Q,1062640
2021,3Q,2811216
2022,2Q,5603545
2022,4Q,105516773
2023,2Q,9450000
2023,3Q,3500000
