Year,Quarter,Damages
2000,1Q,796259.0
2000,2Q,0.0
2000,3Q,1769464.0
2000,4Q,0.0
2001,2Q,10364562.0
2001,3Q,0.0
2001,4Q,18929.0
2002,1Q,1145966.0
2002,2Q,0.0
2002,3Q,1693964.0
2002,4Q,0.0
2003,1Q,0.0
2003,2Q,10103813.0
2003,4Q,0.0
2004,1Q,483952.0
2004,2Q,2903988.0
2005,4Q,24963826.0
2006,1Q,382746.0
2006,2Q,680166.0
2006,3Q,151148.0
2006,4Q,143591.0
2007,1Q,1175646.0
2007,2Q,3421131.0
2007,3Q,0.0
2008,1Q,1839794.0
2008,2Q,2550237.0
2008,3Q,54061635.0
2009,1Q,7243406.0
2009,2Q,5595887.0
2009,4Q,0.0
2010,3Q,0.0
2011,1Q,2573732.0
2011,2Q,7969088.0
2011,3Q,2370543.0
2011,4Q,10836768.0
2012,2Q,15062961.0
2012,4Q,26675377.0
2013,1Q,1831163.0
2013,2Q,10727999.0
2013,4Q,395008.0
2014,1Q,324347.0
2014,2Q,7722563.0
2014,3Q,347515.0
2014,4Q,218806.0
2015,2Q,9783181.0
2015,4Q,3098222.0
2016,1Q,10918150.0
2016,2Q,14472898.0
2017,1Q,3356298.0
2017,2Q,7707055.0
2017,3Q,118340578.0
2018,1Q,1367381.0
2018,2Q,3336947.0
2018,4Q,182015.0
2019,2Q,1549387.0
2019,3Q,4171426.0
2019,4Q,3098773.0
2020,1Q,7770264.0
2020,2Q,9300771.0
2020,3Q,16600110.0
2020,4Q,3414207.0
2021,1Q,33734590.0
2021,2Q,7702731.0
2021,3Q,2726879.0
2022,1Q,3123492.0
2022,2Q,11024886.0
2022,4Q,23655248.0
2023,1Q,6385000.0
2023,2Q,14350000.0
2023,3Q,16100000.0
2023,4Q,0.0
2024,1Q,0.0
2024,2Q,0.0
2024,3Q,0.0
