Year,Quarter,Damages
2000,1Q,796259
2000,3Q,1769464
2001,2Q,10364562
2001,4Q,18929
2002,1Q,1145966
2002,3Q,1693964
2003,2Q,10103813
2004,1Q,483952
2004,2Q,2903988
2005,4Q,24963826
2006,1Q,382746
2006,2Q,680166
2006,3Q,151148
2006,4Q,143591
2007,1Q,1175646
2007,2Q,3421131
2008,1Q,1839794
2008,2Q,2550237
2008,3Q,54061635
2009,1Q,7243406
2009,2Q,5595887
2011,1Q,2573732
2011,2Q,7969088
2011,3Q,2370543
2011,4Q,10836768
2012,2Q,15062961
2012,4Q,26675377
2013,1Q,1831163
2013,2Q,10727999
2013,4Q,395008
2014,1Q,324347
2014,2Q,7722563
2014,3Q,347515
2014,4Q,218806
2015,2Q,9783181
2015,4Q,3098222
2016,1Q,10918150
2016,2Q,14472898
2017,1Q,3356298
2017,2Q,7707055
2017,3Q,118340578
2018,1Q,1367381
2018,2Q,3336947
2018,4Q,182015
2019,2Q,1549387
2019,3Q,4171426
2019,4Q,3098773
2020,1Q,7770264
2020,2Q,9300771
2020,3Q,16600110
2020,4Q,3414207
2021,1Q,33734590
2021,2Q,7702731
2021,3Q,2726879
2022,1Q,3123492
2022,2Q,11024886
2022,4Q,23655248
2023,1Q,6385000
2023,2Q,14350000
2023,3Q,16100000
