ticker,file,sentence,sentiment,type,quarter,year
PGR,PGR_1Q16.pdf,"You probably have some aggregate recover  And just given the March events
and the April events sort of how do you stand with the aggregate cover? What's the risk of essentially
going through that if we have more events later in the year, especially a hurricane? Do you need to sort
of by live cover for the rest of the year? And then just big picture on your home, just the one I could see
in the market share, obviously, your 2 biggest states are Florida and Texas, which are heavy CAT states","{'neg': 0.022, 'neu': 0.949, 'pos': 0.029, 'compound': 0.163}",earnings call,1Q,2016
PGR,PGR_1Q16.pdf,"Hail and driving
weather really have been the cause for both auto and home  Home is not really affected by the flood
conditions in Houston","{'neg': 0.0, 'neu': 0.886, 'pos': 0.114, 'compound': 0.2408}",earnings call,1Q,2016
PGR,PGR_1Q16.pdf,"Home is not really affected by the flood
conditions in Houston  Some of our vehicles are, although that actually was a relatively manageable
number","{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.2408}",earnings call,1Q,2016
PGR,PGR_1Q16.pdf,"Some of our vehicles are, although that actually was a relatively manageable
number  My memory tells me, about 450 losses directly related to the floods","{'neg': 0.1, 'neu': 0.852, 'pos': 0.048, 'compound': -0.34}",earnings call,1Q,2016
PGR,PGR_1Q16.pdf,"My memory tells me, about 450 losses directly related to the floods  So that's not a big driverTHE PROGRESSIVE CORPORATION FQ1 2016 EARNINGS CALL  MAY 06, 2016
WWW","{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.4019}",earnings call,1Q,2016
PGR,PGR_1Q17.pdf,"And what we really wanted to
do was to limit our down sides  So we already have the named storms taken care of, but we wanted to
have additional protection with perils such as winter storm, which, of course, happened this first quarter;
earthquakes, fires; things like that","{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.6542}",earnings call,1Q,2017
PGR,PGR_1Q17.pdf,"So we already have the named storms taken care of, but we wanted to
have additional protection with perils such as winter storm, which, of course, happened this first quarter;
earthquakes, fires; things like that  And that agreement is caps are loss in LAE non-named storms in
liability to a 63 combined ratio","{'neg': 0.082, 'neu': 0.764, 'pos': 0.154, 'compound': 0.6705}",earnings call,1Q,2017
PGR,PGR_1Q23.pdf,"In March, we estimated the reserve changes we believe we
needed to capture the effect of the legislation, including the flood of lawsuits triggered by the law change 
The reserve increases we took in March represented our best estimate of what we believe would be the full
effect of the lawsuits on loss costs for prebill accident periods","{'neg': 0.131, 'neu': 0.805, 'pos': 0.064, 'compound': -0.34}",earnings call,1Q,2023
PGR,PGR_2Q11.pdf,"Oftentimes, we think about contingent purposes being things like hurricanes and
tornadoes and the like  And certainly, investment marketplace disruptions is also another thing that we
maintain for contingent purposes","{'neg': 0.067, 'neu': 0.726, 'pos': 0.207, 'compound': 0.6124}",earnings call,2Q,2011
PGR,PGR_2Q22.pdf,"Our mix of business in those states is consistent with their share of the
total industry premium 
The red states labeled moderate volatility are exposed to hurricane risk on the East Coast and wildfires in California, but
there are less risky areas inland and away from the areas of the high wildfire risk","{'neg': 0.125, 'neu': 0.846, 'pos': 0.028, 'compound': -0.5439}",earnings call,2Q,2022
PGR,PGR_2Q22.pdf,"The red states labeled moderate volatility are exposed to hurricane risk on the East Coast and wildfires in California, but
there are less risky areas inland and away from the areas of the high wildfire risk  Progressive was a new entrant in the
California market in 2016 so our mix of business in the moderate volatility states is less than their share of the overall
industry","{'neg': 0.101, 'neu': 0.865, 'pos': 0.034, 'compound': -0.4031}",earnings call,2Q,2022
PGR,PGR_2Q22.pdf,"But California is less than 20% of Progressive's premium from those states  While I'm happy to say
that our loss ratio was better than the industry in 5 of those 6 states, our relatively low exposure to California's wildfires in
2017 and 2018, exaggerates our relative performance advantage for this group of states","{'neg': 0.114, 'neu': 0.713, 'pos': 0.173, 'compound': 0.7096}",earnings call,2Q,2022
PGR,PGR_2Q22.pdf,"While I'm happy to say
that our loss ratio was better than the industry in 5 of those 6 states, our relatively low exposure to California's wildfires in
2017 and 2018, exaggerates our relative performance advantage for this group of states 
It's encouraging to see that Progressive's loss ratio is very close to the industry average in the less volatile states since we
have relatively little experience operating in these markets","{'neg': 0.1, 'neu': 0.756, 'pos': 0.144, 'compound': 0.6908}",earnings call,2Q,2022
PGR,PGR_2Q22.pdf,"We were able to accomplish these shifts without shrinking the total business in the state 
We now expect to achieve our target profit margins over time or in an average year, but it's important to note that Texas
homeowners results are naturally volatile due to the state's exposure to big hurricane and hail events","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.6705}",earnings call,2Q,2022
PGR,PGR_2Q22.pdf,"We now expect to achieve our target profit margins over time or in an average year, but it's important to note that Texas
homeowners results are naturally volatile due to the state's exposure to big hurricane and hail events  That's why we
have decided to limit growth in Texas as part of our overall plan to shift our mix to less volatile states","{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.7906}",earnings call,2Q,2022
PGR,PGR_2Q22.pdf,"We currently retain the first $200 million in loss from a single catastrophe event with reinsurance coverage available
above that amount up to a limit of $2 6 billion for a single Florida hurricane","{'neg': 0.173, 'neu': 0.827, 'pos': 0.0, 'compound': -0.7717}",earnings call,2Q,2022
PGR,PGR_2Q22.pdf,"6 billion for a single Florida hurricane  We also have $175 million in coverage
available for aggregate losses from 2022 catastrophe events in excess of $575 million","{'neg': 0.221, 'neu': 0.779, 'pos': 0.0, 'compound': -0.7964}",earnings call,2Q,2022
PGR,PGR_2Q23.pdf,"The orange
section of the bars represents how much of our reserves are ceded for reinsurance  Some examples of this
include state-regulated plans, such as Michigan Catastrophic Claims Association and the Florida Hurricane
Cat Fund and private reinsurers","{'neg': 0.08, 'neu': 0.92, 'pos': 0.0, 'compound': -0.4939}",earnings call,2Q,2023
PGR,PGR_2Q23.pdf,"Some examples of this
include state-regulated plans, such as Michigan Catastrophic Claims Association and the Florida Hurricane
Cat Fund and private reinsurers  Our ceded reserves now make up about 16% of our gross reserves
versus just over 12% in 2013","{'neg': 0.142, 'neu': 0.858, 'pos': 0.0, 'compound': -0.743}",earnings call,2Q,2023
PGR,PGR_2Q23.pdf,"spglobal com/marketintelligence 22Autonomous Research US LP
And just to be clear, like let's just say they're about -- you guys executed, but there's a bad hurricane and
you ended up coming in at [ 96","{'neg': 0.118, 'neu': 0.794, 'pos': 0.088, 'compound': -0.4939}",earnings call,2Q,2023
PGR,PGR_2Q23.pdf,"com/marketintelligence 22Autonomous Research US LP
And just to be clear, like let's just say they're about -- you guys executed, but there's a bad hurricane and
you ended up coming in at [ 96 5","{'neg': 0.118, 'neu': 0.794, 'pos': 0.088, 'compound': -0.4939}",earnings call,2Q,2023
