ticker,file,sentence,sentiment,flesch_reading_ease,gunning_fog_index,smog_index,lexical_density,type,quarter,year
PGR,PGR_1Q16.pdf,"So we'll take a look at our rating overall  And I would say that probably we're still in a mode where we can
think in terms of 4 to 5 in terms of annualized rate increases, which is a nice place to be","{'neg': 0.0, 'neu': 0.938, 'pos': 0.062, 'compound': 0.4215}",61.67,19.99,0.0,0.8372093023255814,earnings call,1Q,2016
PGR,PGR_1Q16.pdf,"And I would say that probably we're still in a mode where we can
think in terms of 4 to 5 in terms of annualized rate increases, which is a nice place to be  We gave you
some indications on trends","{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.4215}",63.7,20.3,0.0,0.8536585365853658,earnings call,1Q,2016
PGR,PGR_1Q17.pdf,"Well, that's helpful  Another question on the catastrophe reinsurance, the stop-loss","{'neg': 0.254, 'neu': 0.462, 'pos': 0.283, 'compound': -0.128}",43.39,11.67,0.0,0.9090909090909091,earnings call,1Q,2017
PGR,PGR_1Q17.pdf,"Another question on the catastrophe reinsurance, the stop-loss  Is the way the
accounting works, I just want to be sure, I have it right, that as long as you're in the band and, barring
all the things that are not included -- the named storm's liability, the loss ratio will basically be 63 or
thereabout until as long as you're inside the band of coverage","{'neg': 0.118, 'neu': 0.832, 'pos': 0.05, 'compound': -0.7096}",23.44,29.98,0.0,0.7384615384615385,earnings call,1Q,2017
PGR,PGR_1Q18.pdf,"We never
know what's ahead of us, but that's the fun part about being in this business  If -- I talk about this a lot
with catastrophes","{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.6652}",78.93,11.94,0.0,0.9259259259259259,earnings call,1Q,2018
PGR,PGR_1Q18.pdf,"If -- I talk about this a lot
with catastrophes  We don't know when they're going to come","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",88.06,9.15,0.0,1.0,earnings call,1Q,2018
PGR,PGR_1Q22.pdf,"Our response to these trends have been to reduce marketing expenses, increase underwriting scrutiny, limit build plan
options  And in the first quarter, we implemented rate increases of 7 points in Personal Auto that's still into [Indiscernible]
which is in addition to the 8 points we took in 2021","{'neg': 0.0, 'neu': 0.954, 'pos': 0.046, 'compound': 0.3182}",21.74,26.95,0.0,0.8367346938775511,earnings call,1Q,2022
PGR,PGR_1Q22.pdf,"And in the first quarter, we implemented rate increases of 7 points in Personal Auto that's still into [Indiscernible]
which is in addition to the 8 points we took in 2021  While we're making progress, we still have more work to do to ensure
all of our states reach rate adequacy","{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.6705}",36.63,25.11,0.0,0.7647058823529411,earnings call,1Q,2022
PGR,PGR_1Q22.pdf,"We increased our projected mileage,
which is how we compute our premium, so that was part of the increase  We had rate increases to reflect the inflationary
environment","{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.5267}",43.06,18.34,0.0,0.8928571428571429,earnings call,1Q,2022
PGR,PGR_1Q22.pdf,"We had rate increases to reflect the inflationary
environment  And fourth, we seeded less to our reinsurers","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",45.76,16.21,0.0,0.9411764705882353,earnings call,1Q,2022
PGR,PGR_1Q22.pdf,"I guess just saying that the major auto rate increases are behind you  We still have 7 points of rate that's going
to earn in over the course of the rest of '22","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",71.82,14.41,0.0,0.8484848484848485,earnings call,1Q,2022
PGR,PGR_1Q22.pdf,"I think trailing 3 is more responsive to
our rate increases  And so like I start to say before, we saw early results with our retention in some of the states where
we take increases more quickly","{'neg': 0.0, 'neu': 0.853, 'pos': 0.147, 'compound': 0.7214}",50.84,18.04,0.0,0.8378378378378378,earnings call,1Q,2022
PGR,PGR_1Q21.pdf,"I know some of your competitors have lightened up on the commissions
they pay their agents  This has happened in the auto business, but we're also in the Property business, a lot of the
regional carriers have been slammed with high combined ratios and underwriting losses","{'neg': 0.097, 'neu': 0.903, 'pos': 0.0, 'compound': -0.5789}",33.25,23.62,0.0,0.8478260869565217,earnings call,1Q,2021
PGR,PGR_1Q21.pdf,"This has happened in the auto business, but we're also in the Property business, a lot of the
regional carriers have been slammed with high combined ratios and underwriting losses  And we're also hearing them
apply pressure on commission rates","{'neg': 0.143, 'neu': 0.857, 'pos': 0.0, 'compound': -0.7469}",30.88,21.0,0.0,0.85,earnings call,1Q,2021
PGR,PGR_1Q21.pdf,"We have a very specific target margin
for our Property business that, as you stated, rolls up to our 96%  We've just been riddled with a lot of catastrophes","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",58.96,15.74,0.0,0.9310344827586207,earnings call,1Q,2021
PGR,PGR_1Q21.pdf,"We've just been riddled with a lot of catastrophes  It's
also a fairly newer business for us in terms of segmentation","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",58.62,12.21,0.0,0.9047619047619048,earnings call,1Q,2021
PGR,PGR_1Q21.pdf,"spglobal com/marketintelligence 8In addition, we have done a lot of rate increases","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",33.92,18.13,0.0,1.0,earnings call,1Q,2021
PGR,PGR_1Q21.pdf,"com/marketintelligence 8In addition, we have done a lot of rate increases  So in 2020, we took about 11","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",61.67,13.87,0.0,0.9444444444444444,earnings call,1Q,2021
PGR,PGR_1Q21.pdf,"So that's what we're working towards  We really have, along with the industry, been
rocked with catastrophes","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",62.68,11.51,0.0,0.9411764705882353,earnings call,1Q,2021
PGR,PGR_1Q21.pdf,"We really have, along with the industry, been
rocked with catastrophes  And of course, we also have heavily reinsurance on the property side to protect the downside","{'neg': 0.068, 'neu': 0.845, 'pos': 0.088, 'compound': 0.1531}",44.07,18.21,0.0,0.8888888888888888,earnings call,1Q,2021
PGR,PGR_1Q21.pdf,"And so I think that will change over time, and we'll have more variables that we look at even on the property side 
Really, the property, the outcome, the CR, has been really solely on catastrophes and freely a lot in Texas","{'neg': 0.0, 'neu': 0.934, 'pos': 0.066, 'compound': 0.4404}",54.23,18.7,0.0,0.8571428571428571,earnings call,1Q,2021
PGR,PGR_1Q21.pdf,"Really, the property, the outcome, the CR, has been really solely on catastrophes and freely a lot in Texas  I mean there's
been several things in Texas that have happened","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.4404}",57.95,14.67,0.0,0.8333333333333334,earnings call,1Q,2021
PGR,PGR_1Q23.pdf,"Finally, our largest and slowest moving lever is rates  In quarter 1, we took 4 points of rate in Personal
Auto on an aggregate country-wide basis, and we are still earning in some of the prior year rate increases","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",48.81,18.68,0.0,0.8717948717948718,earnings call,1Q,2023
