company,word,count
PGR,think,2704
PGR,global,2512
PGR,division,2388
PGR,progressive,2235
PGR,market,1837
PGR,year,1680
PGR,research,1553
PGR,question,1540
PGR,business,1494
PGR,going,1473
PGR,rate,1283
PGR,president,1231
PGR,intelligence,1175
PGR,growth,1118
PGR,corporation,1088
PGR,director,1061
PGR,time,1050
PGR,griffith,1034
PGR,like,1019
PGR,copyright,1014
PGR,rights,1005
PGR,little,979
PGR,earnings,948
PGR,patricia,937
PGR,customers,926
PGR,new,924
PGR,susan,922
PGR,auto,891
PGR,ceo,886
PGR,lot,842
PGR,want,780
PGR,right,686
PGR,continue,674
PGR,bit,668
PGR,data,650
PGR,yes,626
PGR,look,618
PGR,reserved,615
PGR,capital,593
PGR,executive,576
PGR,sort,552
PGR,years,552
PGR,glenn,519
PGR,quarter,508
PGR,actually,497
PGR,know,492
PGR,content,486
PGR,product,476
PGR,direct,457
PGR,non,443
ALL,quarter,4889
ALL,allstate,4708
ALL,year,3872
ALL,global,3235
ALL,division,2649
ALL,think,2579
ALL,business,2496
ALL,market,2468
ALL,growth,2003
ALL,auto,1903
ALL,capital,1830
ALL,million,1818
ALL,ratio,1660
ALL,question,1648
ALL,earnings,1590
ALL,income,1590
ALL,insurance,1582
ALL,good,1462
ALL,thomas,1454
ALL,like,1441
ALL,look,1431
ALL,intelligence,1427
ALL,research,1423
ALL,president,1320
ALL,copyright,1281
ALL,wilson,1264
ALL,corporation,1254
ALL,going,1214
ALL,rights,1207
ALL,combined,1121
ALL,new,1117
ALL,rate,1117
ALL,chairman,971
ALL,investment,938
ALL,ceo,889
ALL,higher,795
ALL,prior,754
ALL,right,747
ALL,content,714
ALL,reserved,693
ALL,loss,681
ALL,results,681
ALL,lower,637
ALL,billion,629
ALL,second,599
ALL,company,522
ALL,underlying,522
ALL,frequency,508
ALL,net,506
ALL,continue,506
AFL,quarter,3729
AFL,aflac,3518
AFL,global,3445
AFL,year,3374
AFL,sales,3131
AFL,japan,3100
AFL,division,2561
AFL,earnings,2337
AFL,market,2237
AFL,think,1821
AFL,capital,1807
AFL,president,1619
AFL,product,1514
AFL,research,1501
AFL,intelligence,1416
AFL,incorporated,1375
AFL,question,1370
AFL,investment,1352
AFL,going,1299
AFL,new,1276
AFL,copyright,1189
AFL,rights,1175
AFL,products,1029
AFL,business,1011
AFL,executive,717
AFL,reserved,711
AFL,continue,650
AFL,million,646
AFL,growth,633
AFL,content,630
AFL,like,627
AFL,sector,622
AFL,time,614
AFL,ratio,611
AFL,amos,547
AFL,cancer,536
AFL,rate,533
AFL,strong,521
AFL,expect,492
AFL,impact,489
AFL,insurance,475
AFL,benefit,472
AFL,basis,462
AFL,post,458
AFL,second,454
AFL,believe,453
AFL,fourth,445
AFL,vp,437
AFL,increase,424
AFL,operating,420
TRV,quarter,5686
TRV,business,4839
TRV,year,4398
TRV,global,3462
TRV,division,3166
TRV,think,2976
TRV,market,2651
TRV,jay,2242
TRV,rate,2222
TRV,research,2122
TRV,insurance,2108
TRV,question,1944
TRV,million,1942
TRV,loss,1900
TRV,travelers,1796
TRV,earnings,1796
TRV,intelligence,1712
TRV,companies,1514
TRV,going,1491
TRV,ratio,1458
TRV,chairman,1424
TRV,copyright,1384
TRV,results,1349
TRV,rights,1324
TRV,capital,1270
TRV,line,1250
TRV,change,1242
TRV,prior,1218
TRV,president,1184
TRV,inc,1140
TRV,executive,1074
TRV,alan,1050
TRV,pricing,1039
TRV,brian,977
TRV,net,964
TRV,losses,919
TRV,strong,902
TRV,underlying,876
TRV,income,874
TRV,auto,869
TRV,new,824
TRV,time,793
TRV,david,773
TRV,operating,766
TRV,investment,754
TRV,e,754
TRV,reserved,751
TRV,fishman,734
TRV,combined,726
TRV,officer,708
AFG,quarter,4146
AFG,year,3826
AFG,global,2954
AFG,group,2773
AFG,earnings,2657
AFG,business,2312
AFG,million,2283
AFG,market,2116
AFG,financial,2104
AFG,results,1775
AFG,division,1682
AFG,net,1658
AFG,co,1591
AFG,think,1426
AFG,property,1328
AFG,american,1296
AFG,intelligence,1250
AFG,premiums,1205
AFG,afg,1180
AFG,lindner,1140
AFG,capital,1125
AFG,casualty,1101
AFG,specialty,1081
AFG,annuity,1018
AFG,carl,1013
AFG,president,1005
AFG,director,946
AFG,copyright,941
AFG,share,933
AFG,businesses,925
AFG,rights,901
AFG,research,822
AFG,rate,818
AFG,higher,818
AFG,operating,755
AFG,reserved,725
AFG,underwriting,723
AFG,second,686
AFG,fourth,676
AFG,growth,633
AFG,investment,598
AFG,inc,584
AFG,core,564
AFG,content,549
AFG,rates,532
AFG,crop,479
AFG,lower,462
AFG,executive,452
AFG,operations,451
AFG,ratio,443
BRK,chairman,2440
BRK,think,2052
BRK,berkshire,1990
BRK,warren,1936
BRK,buffett,1694
BRK,people,1614
BRK,going,1329
BRK,like,1290
BRK,global,1210
BRK,mean,1183
BRK,business,1146
BRK,ceo,1048
BRK,got,1012
BRK,lot,1002
BRK,president,988
BRK,munger,966
BRK,time,943
BRK,vice,928
BRK,executive,918
BRK,years,913
BRK,hathaway,903
BRK,money,888
BRK,market,879
BRK,charles,857
BRK,thomas,857
BRK,charlie,829
BRK,know,816
BRK,year,753
BRK,things,747
BRK,want,746
BRK,yes,735
BRK,way,725
BRK,billion,714
BRK,shareholder,681
BRK,company,673
BRK,copyright,662
BRK,inc,657
BRK,division,630
BRK,good,629
BRK,question,593
BRK,intelligence,593
BRK,rights,556
BRK,officer,538
BRK,analyst,527
BRK,board,519
BRK,capital,511
