Company,Categories,Sentence
2023_Priority Health (HMO).pdf,climate_risk,"priority health 2023 naic climate risk survey
governance
priority health is a nationally recognized nonprofit health benefits company focused on
improving the health and lives of over one million members across michigan."
2023_Priority Health (HMO).pdf,climate_risk,"the priority
health board of directors has delegated oversight of the priority health erm program to the
board finance and audit committee, and priority health relies on the corewell health
environment, social and governance (esg) program to mitigate climate risks through
sustainability efforts."
2023_Priority Health (HMO).pdf,climate_risk,climate risk related metrics and targets are to be determined.
2023_Priority Health (HMO).pdf,climate_risk,"by integrating business continuity and emergency management practices, corewell health and
priority health can effectively address climate risks and reduce vulnerability to potential
disruptions."
2023_Priority Health (HMO).pdf,climate_risk,"the business assurance team contributes to climate risk mitigation and resiliency
by:

+ identifying and prioritizing the essential functions and assets that are most exposed to
climate hazards and implementing strategies to protect them."
2023_Priority Health (HMO).pdf,renewable_energy,"energy efficiency, optimization and shift to renewable energy resulted in 2.7% reduction
in carbon emissions specific to energy use."
2023_Privilege Underwriters Recp Exch.pdf,climate_risk,"insurance
naic climate risk survey
pure group of insurance companies
august 2024

table of contents
2.1."
2023_Privilege Underwriters Recp Exch.pdf,climate_risk,"all public statements regarding climate risk have been made at the tmhd level and can be
viewed at the following web site:"
2023_Privilege Underwriters Recp Exch.pdf,climate_risk,"https://www.tokiomarinehd.com/en/sustainability/
in addition, specific to the pure group, we are committed to the following:
= providing insurance solutions and risk management practices to our target market in the
personal lines insurance space
= abstaining from knowingly financing or directly investing in companies that generate
revenues from the ownership, exploration, mining or refining of thermal coal and coal-
fired energy production
- committing to esg-focused investments within our pure foundation and seeking out
additional impact-focused investments within the portfolios of our insurance companies

- stress testing the physical risks our members face given potential climate change
outcomes

= remaining carbon neutral from 2021 onwards, and reducing our scope 1 and scope 2
emissions to the extent feasible

‘as mentioned above, all public climate-related disclosure is currently provided by tmhd."
2023_Privilege Underwriters Recp Exch.pdf,climate_risk,"sustainable from the known returns for the
and society environment and production or _insurance companies,
society burning of fossil learning from
fuels, initial portfolio companies
investments in that are part of
esg-focused energy transition to
funds consider impacts on
pure’s direct business
(example: evs)
transition riskto to inform our ‘additional we can confidently our membership
low-carbon memberships of researchneedsto recommend building _is resilient as
processes and the advantages be performedon cost-effective and —_possible from the
materials havea _ and necessary sustainable resilient materialsto property and
negative impact _riskmanagement building materials."
2023_Privilege Underwriters Recp Exch.pdf,climate_risk,"pure has adopted the following investment guideline to mitigate the transition risk associated
with this movement away from carbon:"
2023_Privilege Underwriters Recp Exch.pdf,climate_risk,"in compliance with the california
department of insurance's climate risk carbon initiative, the company shall not invest in other
{forms of thermal coal investments."
2023_Privilege Underwriters Recp Exch.pdf,climate_risk,"additionally, transition risk is considered by pure’s
outsourced investment managers during the acquisition of investment securities."
2023_Privilege Underwriters Recp Exch.pdf,climate_risk,"the physical risk of climate change relates to our investment portfolio to
a lesser extent but is far more prevalent in our main course of business ~"
2023_Privilege Underwriters Recp Exch.pdf,climate_risk,"sound diversification of investment
assets across geography, sector and individual securities (single-name risk) reduces the
potential impact of physical risk from climate change for pure’s overall investment
portfolio."
2023_Privilege Underwriters Recp Exch.pdf,climate_risk,"investment risk
pure has adopted the investment guideline to mitigate the transition risk associated with this
movement away from carbon as disclosed above."
2023_ProAssurance Group .pdf,climate_risk,"naic climate risk disclosure survey
tcfd-aligned questions

pra companies with more than $100 million in direct written premium nationwide 12/31/2023
proassurance indemnity company, inc. - 33391
proassurance specialty insurance company - 17400
norcal insurance company - 33200
eastern alliance insurance company - 10724
governance

1."
2023_ProAssurance Group .pdf,climate_risk,"describe the steps the insurer has taken to engage key constituencies on the topic of climate risk and
resiliency."
2023_ProAssurance Group .pdf,climate_risk,"the group has not engaged key constituents on the topic of climate-related risks at this time,
strategy - closed ended questions answered in addition to the narrative
‘© has the insurer taken steps to engage key constituencies on the topic of climate risk and resiliency?
(y/n) *"
2023_ProAssurance Group .pdf,climate_risk,"does the insurer provide products or services to support the transition to a low carbon economy or help
customers adapt to climate risk?
(y/n)"
2023_ProAssurance Group .pdf,climate_risk,"in describing the metrics used by the insurer to assess and monitor climate risks, consider the
amount of exposure to business lines, sectors, and geographies vulnerable to climate-related
physical risks"
2023_ProAssurance Group .pdf,climate_risk,asterisks represent questions derived from the original climate risk disclosure survey.
2023_Prominence HealthFirst.pdf,climate_risk,"naic climate risk disclosure survey
tcfd-aligned questions
updated 2022
governance
1."
2023_Prominence HealthFirst.pdf,climate_risk,"+ in describing the metrics used by the insurer to assess and monitor climate risks, consider the
amount of exposure to business lines, sectors, and geographies vulnerable to climate-related
physical risks"
2023_Providence Health Plan.pdf,climate_risk,"provdence health plan/ providence health assurance
response to climate risk disclosure survey
section 1: governance
disclose the insurer's governance around climate-related risks and opportunities."
