title,link,snippet,date,category
American Financial Group Inc (AFG) Stock Price & News - Google ...,https://www.google.com/finance/quote/AFG:NYSE,"Get the latest American Financial Group Inc (AFG) real-time quote, historical performance, charts, and other financial information to help you make more ...",2025-01-03,American Financial Group
Цена акција American Financial Group 5 625 Subordinated ...,https://www.google.com/finance/quote/AFGD:NYSE?hl=sr,"Добијаћете најновију квоту у реалном времену за American Financial Group 5 625 Subordinated Debenture (AFGD), досадашњи учинак, графиконе и друге ...",2025-01-03,American Financial Group
Hanover Insurance Group Inc (THG) Stock Price & News - Google ...,https://www.google.com/finance/quote/THG:NYSE,American Financial Group Inc. $136.98. AFG 0.38%. Selective Insurance Group Inc. $93.34. SIGI 0.28%. AXIS Capital Holdings Ltd. $90.03. AXS 2.76%. Hartford ...,2025-01-03,American Financial Group
Stewart Information Services Corp (STC) Stock Price & News ...,https://www.google.com/finance/quote/STC:NYSE,... Group Inc. $153.32. THG 0.78%. American Financial Group Inc. $137.70. AFG 0.15%. Cincinnati Financial Corp. $147.39. CINF 0.28%. C&F Financial Corp. $76.89.,2025-01-03,American Financial Group
Hallmark Financial Services Inc (HALL) Stock Price & News ...,https://www.google.com/finance/quote/HALL:OTCMKTS,"ZAC 2,088.00. AEL 0.38%. Global Indemnity Group LLC. $36.25. GBLI 1.68%. American Financial Group Inc. $136.04. AFG 0.70%. insightsKey events. Key events shows ...",2025-01-03,American Financial Group
Assurant Inc (AIZ) Stock Price & News - Google Finance,https://www.google.com/finance/quote/AIZ:NYSE,... Financial Services Group Inc. $109.40. HIG 0.12%. American Financial Group Inc. $136.93. AFG 0.65%. Chubb Ltd. $276.30. CB 0.32%. Arch Capital Group Ltd. $92.35.,2025-01-03,American Financial Group
Admiral Group ADR (AMIGY) Price & News - Google Finance,https://www.google.com/finance/quote/AMIGY:OTCMKTS,"searchCompare to. American Financial Group Inc. $146.86. AFG 0.72%. Hartford Financial Services Group Inc. $123.31. HIG 0.35%. Admiral Group plc. GBX 2,593.00.",2025-01-03,American Financial Group
Selective Insurance Group Inc (SIGI) Stock Price & News - Google ...,https://www.google.com/finance/quote/SIGI:NASDAQ,Arch Capital Group Ltd. $92.93. ACGL 0.28% ; Hanover Insurance Group Inc. $156.02. THG 0.40% ; American Financial Group Inc. $138.16. AFG 0.12% ; Income Statement.,2025-01-03,American Financial Group
Mercury General Corp (MCY) Stock Price & News - Google Finance,https://www.google.com/finance/quote/MCY:NYSE,American Financial Group Inc. $147.93. AFG 0.12%. AXIS Capital Holdings Ltd. $93.85. AXS 3.23%. Cincinnati Financial Corporation. $160.16. CINF 0.34%.,2025-01-03,American Financial Group
Horace Mann Educators Corporation (HMN) Stock Price & News ...,https://www.google.com/finance/quote/HMN:NYSE,SAFT 0.77%. Assurant Inc. $227.34. AIZ 0.71%. Employers Holdings Inc. $53.08. EIG 0.038%. American Financial Group Inc. $142.03. AFG 1.31%. Kemper Corp. $70.29.,2025-01-03,American Financial Group
